item_id,sku,category_name_1,price,qty_ordered,Year,Month,Customer ID,dom_col_hex,gender,age,match_level
216313,ISN's 100% Whey Protein - Pack of 2,Health & Sports,4500.0,1,2016,7,1498,#1a1a1a,Male,Young,2
213579,3m_08840 Sound,Others,1310.0,2,2016,7,863,#131313,Male,Young,2
212021,RS_Honey Dry Fruit Halwa,Soghaat,325.0,1,2016,7,282,#000001,Male,Young,2
212763,ajmery_TA-3,Men's Fashion,999.0,1,2016,7,560,#000000,Male,Young,2
212026,UK_Namkino Badshahi Mix 200 Gms,Soghaat,100.0,2,2016,7,282,#feffff,Female,Young,1
215561,Elan_W-M020,Women's Fashion,1150.0,3,2016,7,1328,#fefefe,Female,Young,1
215867,UK_ Namkino Daal Moong 200 Gms,Soghaat,90.0,1,2016,7,282,#fbfbfd,Female,Young,1
215562,Elan_W-M022,Women's Fashion,1150.0,1,2016,7,1328,#f2cf41,Female,Young,1
213081,anex_2028,Appliances,3600.0,1,2016,7,692,#d91a5d,Female,Young,1
212790,Dynasty_Marvel By Dynasty-Off-White,Men's Fashion,2100.0,1,2016,7,577,#d80202,Uncategorized,Young,1
211639,Dany_Genius Tab G7 Metallica ,Mobiles & Tablets,6500.0,1,2016,7,150,#d7c4a3,Female,Young,1
212598,RS_Gulab jaman Tin,Soghaat,435.0,1,2016,7,504,#c9c9c9,Female,Young,1
215488,Dynasty_Super Lessona-Beige,Men's Fashion,2295.0,1,2016,7,577,#c6ebfe,Female,Young,1
214926,Getiit_Joy,Men's Fashion,3750.0,1,2016,7,1177,#c2c1bd,Female,Young,1
212421,Elite_EDF-89R,Appliances,6999.0,1,2016,7,436,#7b9eb4,Female,Young,1
215563,WE_MA16,Women's Fashion,1658.0,1,2016,7,1328,#743a99,Female,Young,1
216353,CPW- 8 Mustard ,Men's Fashion,1350.0,1,2016,7,1506,#5e3b1b,Uncategorized,Young,1
212028,UK_Namkino Mix Nimco 400 Gms,Soghaat,170.0,1,2016,7,282,#3f3d48,Uncategorized,Young,1
212484,RS_Nan Khatai,Soghaat,210.0,1,2016,7,282,#14599c,Uncategorized,Young,1
